Provider,name,Price,cost,available_quantity,Descripcion,code
Wheel Locks,Tuerca de seguridad classic 42236,"$59,592","$32,079",1,CHEVROLET: AVEO - TRACKER - CRUZE - SONIC - CAMARO - CAPTIVA - EQUINOX - S10 - TRAILERBLAZER / HIUNDAY: GENESIS - TUCSON - SANTA FE - ACCENT - I10 - I20 - VELOSTER - ELENTRA / KIA: CERATO - SOUL - RIO - SPORTAGE - SORENTO - KARNIVAL,TSC42236
wheel Locks,Tuerca de seguridad classic  42236/1,"$59,592","$32,079",1,NISSAN: FRINTIER - TERRANO - PATROL - MURANO - KICKS - SENTRA - TIIDA - NOTE - PATHFINDER - MARCH -  MAXIMA - VERSA - X-TRAIL - LEAF/ SUBARU: TODOS / SUZUKI: VARIOS / RENAULT: KOLEOS - ALASKAN / CHEVROLET: SPARK / CHERRY: QQ,TSC42236/1
wheel Locks,Tuerca de seguridad classic  42235,"$61,894","$33,318",1,FORD:  FOCUS - FIESTA - FIESTA KD - MONDEO - KA - ECOSPORT - S-MAX - KUGA - RANGER 2012+ / CHEVROLET:  PRISMA - SPIN - COLBALT - S10 2012 /  CHRYSLER:  PT CRUSIER - NEON / TOYOTA: LLANTAS DE CHAPA,TSC42235
wheel Locks,Tuerca de seguridad classic 42701,"$59,592","$32,079",1,TOYOTA: HILUZ - RAV4 - COROLLA - CORONA - LAND CRUSIER - INNOVA - YARIS - ETIOS - PRIUS - 86 - SW4 - PRADO - CAMRY - INNOVA - 4 RUNNER - CELICA / CHERY (HASTA 2016):  TIGGO 1 - TIGGO 2 / MITSUBISHI:  ECLIPSE - PAJERO - NATIVA - LANCER - OUTLANDER - GALANT - L200 - MONTERO,TSC42701
wheel Locks,Tuerca de seguridad classic 73423,"$59,592","$32,079",1,RENAULT: KANGOO - KANGOO 2 - CLIO - CLIO 2 - CLIO MIO - SANDERO - SANDERO GT - SANDERO STEPWAY - DUSTER - OROCH - LOGAN - SYMBOL - CAPTUR - MEGANE 2 - FLUENCE - SYMBOL - KWID,TSC73423
wheel Locks,Tuerca de seguridad classic  73423/1,"$59,592","$32,079",1,FIAT: QUBO - DOBLO - TORO - PALIO L/N - SIENA - GRAN SIENA - UNO (L/N) - ARGO - MOBI - CRONOS - 500 - PUNTO / JEEP: RENEGADE - COMPASS <2015 - CHEROKEE <2005 - ALFA ROMEO:  147 - 156 - 166 - GIULIETTA - GT - MITO,TSC73423/1
wheel Locks,Tuerca de seguridad classic  72428,"$60,015","$32,307",1,"VOLKSWAGEN:  GOLF - BORA - VENTP - PASSAT - NEW BEATTLE - FOX - SURAN - SIROCCO - SURAN CROSS - FOX CROSS - POLO L/N - VRTUS - TIGUAN - TUAREG / FORD:  TERRITORY / SEAT:  TOLEDO - IBIZA - LEON - ALTEA  /  MERCEDES BENZ: CLASSE A , B, C, E, SL. SLK  AUDI: A1 - A3 - A4 A6, A8 - COUPE - CABRIO - QUATTRO - R8 - RS3 ",TSC72428
wheel Locks,Tuerca de seguridad 360 46300,"$75,705","$40,753",1,CHEVROLET: AVEO - TRACKER - CRUZE - SONIC - CAMARO - CAPTIVA - S10 12+ - EQUINOX - TRAILERBLAZER / KIA: CERATO - SOUL - RIO - SPORTAGE - SORENTO - CARNIVAL / DAIHATSU: VARIOS / MITSUBISHI: VARIOS / TOYOTA:  LLANTA DE CHAPA Y GENERICAS / HIUNDAY: GENESIS - TUCSON - SANTA FE - ELANTRA - I10 - I30 - VELOSTER,TS360-46300
wheel Locks,Tuerca de seguridad 360 46300/1,"$75,705","$40,753",1,NISSAN: FRONTIER - TERRANO - PATROL - MURANO - NP300 - KICK - CENTRA - TIDA - NOTE PATHFINDER - MARCH - MAXIMA VERSA - LEAF - X-TRAIL / SUBARU:  VARIOS /  SUZUKI: VARIOS / RENAULT: KOLEOS - ALASKAN / CHEVROLET: SPARK / CHERRY: QQ,TS360-46300/1
wheel Locks,Tuerca de seguridad 360 46304,"$77,999","$41,988",1,Toyota Hilux (2016 en adelante) / Ford Ranger (2012 en adelante) / Volkswagen Amarok (2010 en adelante) / Nissan Frontier (varios modelos) / Chevrolet S10 / Mitsubishi L200 / Fiat Toro / Jeep Gladiator / Isuzu D- Max / Mazda BT-50,TS360-46304
